id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
4687,Binance USD,BUSD,binance-usd,1532,2019-09-20T00:00:00.000Z,,13541249920,13541249920,"{'id': 1839, 'name': 'Binance Chain (BEP2)', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'BUSD-BD1'}",18,2021-11-14T08:47:07.000Z,1.000217177,4808864353,-20.6671,0.21058853,-0.08650847,0.02360694,0.05980738,-0.00263191,0.0396613,13544190767,0.4823,13544190767,2021-11-14T08:47:07.000Z
1831,Bitcoin Cash,BCH,bitcoin-cash,525,2017-07-23T00:00:00.000Z,21000000,18900131.25,18900131.25,,19,2021-11-14T08:46:09.000Z,665.2137774,950769483.4,-19.6174,-0.59461462,0.62432434,12.86674304,8.46508775,4.18806734,-4.56076535,12572627702,0.4476,13969489326,2021-11-14T08:46:09.000Z
4030,Algorand,ALGO,algorand,157,2019-06-20T00:00:00.000Z,10000000000,6248821590,6710401321,,20,2021-11-14T08:46:11.000Z,1.985339755,649408604.7,-50.213,-0.23451781,-3.74041482,8.38825295,12.73487631,-3.33672965,98.37004118,12406033921,0.4418,19853397546,2021-11-14T08:46:11.000Z
3890,Polygon,MATIC,polygon,255,2019-04-28T00:00:00.000Z,10000000000,6902890164,10000000000,,21,2021-11-14T08:46:08.000Z,1.725835521,681937619.3,-12.3466,-0.59085793,0.6191674,-7.36831709,7.87366958,27.10405544,12.68286098,11913253043,0.4242,17258355209,2021-11-14T08:46:08.000Z
3077,VeChain,VET,vechain,149,2017-08-22T00:00:00.000Z,86712634466,64315576989,86712634466,,22,2021-11-14T08:47:02.000Z,0.157974169,496345680.9,-18.4366,-0.77457927,-0.57744009,0.54326876,37.80379679,34.01334537,14.67028327,10160199838,0.3616,13698356384,2021-11-14T08:47:02.000Z
3635,Crypto.com Coin,CRO,crypto-com-coin,108,2018-12-14T00:00:00.000Z,30263013692,25263013692,30263013692,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b'}",23,2021-11-14T08:47:06.000Z,0.402126489,545058372.6,147.5038,-1.57748787,2.81783895,21.10054039,115.5592528,116.7523956,163.3497329,10158927010,0.3617,12169559457,2021-11-14T08:47:06.000Z
6783,Axie Infinity,AXS,axie-infinity,132,2020-08-31T00:00:00.000Z,270000000,60907500,270000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xbb0e17ef65f82ab018d8edd776e8dd940327b28b'}",25,2021-11-14T08:47:07.000Z,141.9842012,372941330,-23.5898,-0.24183529,-0.97575388,-8.77015713,10.75154499,110.9174365,107.5855615,8647902732,0.3079,38335734314,2021-11-14T08:47:07.000Z
8916,Internet Computer,ICP,internet-computer,80,2021-03-23T00:00:00.000Z,,182112478.5,474655608.6,,26,2021-11-14T08:47:08.000Z,47.40116036,292970808.3,-3.2448,-0.96454574,2.35515523,-3.74617941,13.0863998,-18.37708706,-27.45523684,8632342794,0.3074,22499226619,2021-11-14T08:47:08.000Z
1958,TRON,TRX,tron,486,2017-09-13T00:00:00.000Z,,71659657369,1.01E+11,,27,2021-11-14T08:46:09.000Z,0.110991346,2954385841,4.2681,-0.03111293,-0.48633862,8.09299601,15.01621125,-4.56900726,18.43414586,7953601858,0.2832,11193559847,2021-11-14T08:46:09.000Z
2280,Filecoin,FIL,filecoin,150,2017-12-13T00:00:00.000Z,,123045141,123045141,,28,2021-11-14T08:47:04.000Z,62.10876396,346227904.3,-44.3813,-0.88677294,-1.23801278,1.05677716,-6.70054925,-27.26348085,-16.13923355,7642181619,0.272,7642181619,2021-11-14T08:47:04.000Z
