,SYMBOL,Open,High,Low,Close,Adj Close,Volume,Gross Profit,percentage_chng_24h,percentage_chng_7d,percentage_chng_30d,percentage_chng_1h
0,A,161.25,162.31500244140625,157.5,157.77999877929688,157.77999877929688,1121448.0,2837000000,-1.9269057741350255,2.857874251035512,,-0.23395202748453908
1,AAL,20.399999618530273,20.559999465942383,20.200000762939453,20.31999969482422,20.31999969482422,20873998.0,-5536000000,0.14785006379136145,-7.011910177339718,5.677083902474884,-0.27000639621893663
2,AAP,240.02000427246094,243.0500030517578,239.5,241.91000366210938,241.91000366210938,1085420.0,4484775000,1.2006402512491443,4.052582480189246,5.9950287147643735,0.2443656113008067
3,AAPL,150.3699951171875,151.8800048828125,149.42999267578125,150.0,150.0,55958623.0,152836000000,0.00666344854317177,,,-0.14651353848479162
4,ABBV,116.94999694824219,117.80000305175781,116.22850036621094,116.83999633789062,116.83999633789062,3940964.0,31747000000,-0.1111437817010895,-0.1792106877673226,,-0.20072655688853375
5,ABC,125.33999633789062,125.68000030517578,124.04000091552734,124.41999816894531,124.41999816894531,663540.0,6943228000,-0.7340020710270234,,,-0.23250293251212595
6,ABMD,361.3500061035156,362.239990234375,346.5050048828125,348.3599853515625,348.3599853515625,201723.0,685615000,-3.4719800460761374,-0.22669454148668725,8.688713817935135,0.16671948836432884
7,ABT,128.77000427246094,130.19500732421875,128.27999877929688,129.44000244140625,129.44000244140625,4565941.0,19611000000,0.7707322045036533,3.2805291561934,,0.007733729576941414
8,ACN,371.7699890136719,372.04998779296875,368.17999267578125,368.45001220703125,368.45001220703125,1957364.0,16364128000,-0.74886154056097,0.7517829874312731,,-0.036606364906874696
9,ADBE,658.3699951171875,663.6649780273438,655.22998046875,659.72998046875,659.72998046875,1077608.0,11146000000,0.32390586403453164,-0.7725729332941855,1.113228119417788,0.1661820577657021
10,ADI,185.72000122070312,185.72000122070312,184.02000427246094,185.05999755859375,185.05999755859375,1337191.0,3690478000,0.14611411995824744,0.33119808589924793,6.513336466182773,-0.0431951990468221
11,ADM,66.43000030517578,66.9800033569336,65.88999938964844,66.94999694824219,66.94999694824219,2027590.0,4453000000,1.5470903053921756,2.2329081859300897,2.630763539236336,-0.2167687911338884
12,ADP,231.8000030517578,233.22999572753906,229.77000427246094,233.05999755859375,233.05999755859375,1029103.0,6768100000,0.9223595679938216,0.5792624289678799,2.8687188850433216,0.2070910907183665
13,ADSK,330.739990234375,332.3999938964844,325.0899963378906,326.3900146484375,326.3900146484375,865474.0,3484900000,-0.8897098902638623,1.4791132975000354,3.6869187093392,-0.36478191662444354
14,AEE,85.02999877929688,85.83000183105469,84.69999694824219,85.79000091552734,85.79000091552734,794531.0,2858000000,1.4665852383357798,-1.111107541803728,0.3084614229522127,0.3977119847715532
15,AEP,82.25,82.9000015258789,81.83000183105469,82.87999725341797,82.87999725341797,2099095.0,6966000000,1.0485255371249311,,,0.20551035594371514
16,AES,25.0,25.09000015258789,24.68000030517578,25.030000686645508,25.030000686645508,3207568.0,2511000000,1.2540508976614069,-1.0804340145521774,-1.6315155634871983,0.05996920792761667
17,AFL,57.2400016784668,57.756099700927734,56.970001220703125,57.56999969482422,57.56999969482422,3433629.0,7821000000,0.9822862476378954,0.45814682208493945,6.223216445944452,0.22628558118157074
18,AIG,58.38999938964844,58.59000015258789,57.869998931884766,58.09000015258789,58.09000015258789,3819937.0,10698000000,-0.20614831433105962,-1.272048866428011,-1.4892554845875967,-0.23182301848636272
19,AIZ,160.9600067138672,161.47999572753906,159.57000732421875,160.11000061035156,160.11000061035156,394338.0,1021700000,-0.06865597897483262,-1.427336139571269,-0.6757153024534007,0.07439054645813149
20,AJG,166.41000366210938,166.67999267578125,164.80999755859375,165.3800048828125,165.3800048828125,731952.0,2510500000,-0.21118135144464084,3.413204422935258,-1.1570361201122528,0.07866688075384293
21,AKAM,109.26000213623047,109.7699966430664,107.7699966430664,108.4800033569336,108.4800033569336,2106322.0,2065477000,-2.717243943368561,3.9332660869540486,5.736775179479952,0.16151684008642775
22,ALB,275.8299865722656,276.5299987792969,265.32000732421875,271.2900085449219,271.2900085449219,914078.0,996853000,-1.848764639798169,1.427464677060852,10.352534255362935,-0.0571181931622809
23,ALGN,692.0599975585938,692.0599975585938,674.510009765625,680.1900024414062,680.1900024414062,325181.0,1763235000,-1.1064241765955285,0.08876516675088136,10.159039219025273,0.1493118769562392
24,ALK,56.04999923706055,56.380001068115234,55.37779998779297,55.66999816894531,55.66999816894531,1222770.0,-680000000,0.035932870652496236,-6.2341988936284976,5.397731685605652,-0.053848105887397475
25,ALL,115.1500015258789,115.44000244140625,114.43000030517578,114.80000305175781,114.80000305175781,1774125.0,14279000000,0.07846218115552173,-2.0911612334039837,-7.245087100456184,0.11337305737195663
26,ALLE,135.5800018310547,135.68499755859375,133.6199951171875,134.0399932861328,134.0399932861328,387992.0,1184000000,-0.8433196119359452,2.868875206308901,5.362423585639328,-0.1118136189465567
27,AMAT,156.96279907226562,158.1300048828125,155.24000549316406,156.27000427246094,156.27000427246094,6248432.0,7715000000,-0.35072250100123026,2.3028339700535922,14.760347112063277,-0.14052198782181757
28,AMCR,12.380000114440918,12.449999809265137,12.335000038146973,12.390000343322754,12.390000343322754,2869090.0,2732000000,0.08077729232143507,1.976933808327022,2.56835482563957,-0.16115636047752263
29,AMD,148.0,148.97999572753906,142.86000061035156,146.49000549316406,146.49000549316406,52271271.0,4347000000,-0.9466454136603152,8.471470853742364,23.005901405990194,-0.24397524059232512
